"id";"name";"content_type_id";"codename"
1;"Can add log entry";1;"add_logentry"
2;"Can change log entry";1;"change_logentry"
3;"Can delete log entry";1;"delete_logentry"
4;"Can add permission";2;"add_permission"
5;"Can change permission";2;"change_permission"
6;"Can delete permission";2;"delete_permission"
7;"Can add group";3;"add_group"
8;"Can change group";3;"change_group"
9;"Can delete group";3;"delete_group"
10;"Can add user";4;"add_user"
11;"Can change user";4;"change_user"
12;"Can delete user";4;"delete_user"
13;"Can add content type";5;"add_contenttype"
14;"Can change content type";5;"change_contenttype"
15;"Can delete content type";5;"delete_contenttype"
16;"Can add session";6;"add_session"
17;"Can change session";6;"change_session"
18;"Can delete session";6;"delete_session"
19;"Can add site";7;"add_site"
20;"Can change site";7;"change_site"
21;"Can delete site";7;"delete_site"
22;"Can add v account detail";8;"add_vaccountdetail"
23;"Can change v account detail";8;"change_vaccountdetail"
24;"Can delete v account detail";8;"delete_vaccountdetail"
25;"Can add v actual problem links";9;"add_vactualproblemlinks"
26;"Can change v actual problem links";9;"change_vactualproblemlinks"
27;"Can delete v actual problem links";9;"delete_vactualproblemlinks"
28;"Can add v board";10;"add_vboard"
29;"Can change v board";10;"change_vboard"
30;"Can delete v board";10;"delete_vboard"
31;"Can add v board queue";11;"add_vboardqueue"
32;"Can change v board queue";11;"change_vboardqueue"
33;"Can delete v board queue";11;"delete_vboardqueue"
34;"Can add v chart project behind tasks";12;"add_vchartprojectbehindtasks"
35;"Can change v chart project behind tasks";12;"change_vchartprojectbehindtasks"
36;"Can delete v chart project behind tasks";12;"delete_vchartprojectbehindtasks"
37;"Can add v chart tasks by status";13;"add_vcharttasksbystatus"
38;"Can change v chart tasks by status";13;"change_vcharttasksbystatus"
39;"Can delete v chart tasks by status";13;"delete_vcharttasksbystatus"
40;"Can add v client admin group";14;"add_vclientadmingroup"
41;"Can change v client admin group";14;"change_vclientadmingroup"
42;"Can delete v client admin group";14;"delete_vclientadmingroup"
43;"Can add v client users";15;"add_vclientusers"
44;"Can change v client users";15;"change_vclientusers"
45;"Can delete v client users";15;"delete_vclientusers"
46;"Can add v comments parent";16;"add_vcommentsparent"
47;"Can change v comments parent";16;"change_vcommentsparent"
48;"Can delete v comments parent";16;"delete_vcommentsparent"
49;"Can add v importances";17;"add_vimportances"
50;"Can change v importances";17;"change_vimportances"
51;"Can delete v importances";17;"delete_vimportances"
52;"Can add v invoice detail";18;"add_vinvoicedetail"
53;"Can change v invoice detail";18;"change_vinvoicedetail"
54;"Can delete v invoice detail";18;"delete_vinvoicedetail"
55;"Can add v lookups by type";19;"add_vlookupsbytype"
56;"Can change v lookups by type";19;"change_vlookupsbytype"
57;"Can delete v lookups by type";19;"delete_vlookupsbytype"
58;"Can add v my assignedprojects";20;"add_vmyassignedprojects"
59;"Can change v my assignedprojects";20;"change_vmyassignedprojects"
60;"Can delete v my assignedprojects";20;"delete_vmyassignedprojects"
61;"Can add v my attention required";21;"add_vmyattentionrequired"
62;"Can change v my attention required";21;"change_vmyattentionrequired"
63;"Can delete v my attention required";21;"delete_vmyattentionrequired"
64;"Can add v my client";22;"add_vmyclient"
